19:16:57,649 |-INFO in ch.qos.logback.classic.joran.action.RootLoggerAction - Setting level of ROOT logger to INFO
19:16:57,649 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [INFO_FILE] to Logger[ROOT]
19:16:57,649 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [ERROR_FILE] to Logger[ROOT]
19:16:57,649 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - End of configuration.
19:16:57,649 |-INFO in org.springframework.boot.logging.logback.SpringBootJoranConfigurator@39a054a5 - Registering current configuration as safe fallback point
2019-04-10 19:16:58.486  INFO [bootstrap,,,] 4038 --- [           main] s.c.a.AnnotationConfigApplicationContext : Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@71bc1ae4: startup date [Wed Apr 10 19:16:58 CST 2019]; root of context hierarchy
2019-04-10 19:16:59.755  INFO [bootstrap,,,] 4038 --- [           main] f.a.AutowiredAnnotationBeanPostProcessor : JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-04-10 19:16:59.941  INFO [bootstrap,,,] 4038 --- [           main] trationDelegate$BeanPostProcessorChecker : Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$c54a78bf] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
19:17:01,697 |-INFO in ch.qos.logback.classic.jmx.JMXConfigurator(default) - onReset() method called JMXActivator [ch.qos.logback.classic:Name=default,Type=ch.qos.logback.classic.jmx.JMXConfigurator]
19:17:01,704 |-INFO in ch.qos.logback.classic.jmx.JMXConfigurator(default) - onReset() method called JMXActivator [ch.qos.logback.classic:Name=default,Type=ch.qos.logback.classic.jmx.JMXConfigurator]
19:17:01,704 |-INFO in ch.qos.logback.classic.jmx.JMXConfigurator(default) - Unregistering mbean [ch.qos.logback.classic:Name=default,Type=ch.qos.logback.classic.jmx.JMXConfigurator]
19:17:01,704 |-INFO in ch.qos.logback.core.joran.spi.ConfigurationWatchList@4667ae56 - URL [jar:file:/usr/local/games/mallBusi/account-sevice-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/logback.xml] is not of type file
19:17:01,715 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - debug attribute not set
19:17:01,716 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - Will scan for changes in [jar:file:/usr/local/games/mallBusi/account-sevice-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/logback.xml] 
19:17:01,716 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - Setting ReconfigureOnChangeTask scanning period to 10 seconds
19:17:01,722 |-INFO in ch.qos.logback.core.joran.util.ConfigurationWatchListUtil@21588809 - Adding [jar:file:/usr/local/games/mallBusi/account-sevice-0.0.1-SNAPSHOT.jar!/BOOT-INF/lib/spring-boot-1.5.2.RELEASE.jar!/org/springframework/boot/logging/logback/base.xml] to configuration watch list.
19:17:01,722 |-INFO in ch.qos.logback.core.joran.spi.ConfigurationWatchList@4667ae56 - URL [jar:file:/usr/local/games/mallBusi/account-sevice-0.0.1-SNAPSHOT.jar!/BOOT-INF/lib/spring-boot-1.5.2.RELEASE.jar!/org/springframework/boot/logging/logback/base.xml] is not of type file
19:17:01,726 |-INFO in ch.qos.logback.core.joran.util.ConfigurationWatchListUtil@21588809 - Adding [jar:file:/usr/local/games/mallBusi/account-sevice-0.0.1-SNAPSHOT.jar!/BOOT-INF/lib/spring-boot-1.5.2.RELEASE.jar!/org/springframework/boot/logging/logback/defaults.xml] to configuration watch list.
19:17:01,726 |-INFO in ch.qos.logback.core.joran.spi.ConfigurationWatchList@4667ae56 - URL [jar:file:/usr/local/games/mallBusi/account-sevice-0.0.1-SNAPSHOT.jar!/BOOT-INF/lib/spring-boot-1.5.2.RELEASE.jar!/org/springframework/boot/logging/logback/defaults.xml] is not of type file
19:17:01,742 |-INFO in ch.qos.logback.core.joran.action.ConversionRuleAction - registering conversion word clr with class [org.springframework.boot.logging.logback.ColorConverter]
19:17:01,742 |-INFO in ch.qos.logback.core.joran.action.ConversionRuleAction - registering conversion word wex with class [org.springframework.boot.logging.logback.WhitespaceThrowableProxyConverter]
